RDS_E_t           ; ORCA_E_t          ; RDS_E_v           ; ORCA_E_v          ; RDS_N_ttg         ; ORCA_N_ttg        ; RDS_N_v           ; ORCA_N_v          ; RDS_rob_track_err ; ORCA_rob_track_err; RDS_ped_track_err ; ORCA_ped_track_err; RDS_collisions    ; ORCA_collisions   
0.999992; 0.999881; 0.998818; 0.994495; 0.999689; 1.00013; 0.919225; 0.976235; 0.794874; 2.25643; 0.205109; 0.210951; 0; 0
1.00005; 0.999853; 0.998224; 0.994455; 1.00023; 1.00008; 1.09111; 1.10956; 0.101533; 1.50396; 0.232659; 0.230651; 0; 0
0.999976; 1.00003; 0.999177; 0.997193; 1.00007; 0.999937; 1.04538; 0.817176; 0.37308; 3.09798; 0.29508; 0.388478; 0; 0
0.999988; 1.00001; 0.998587; 0.995638; 0.999981; 1.00002; 1.05778; 1.07435; 0.5069; 1.0508; 0.255732; 0.282817; 0; 0
0.999979; 1; 0.997328; 1.00094; 1; 1.00002; 1.03472; 1.06299; 0.48025; 0.980486; 0.315739; 0.304691; 0; 0
1.0001; 1.00015; 0.999979; 1.00403; 0.99994; 0.999669; 0.953335; 0.952008; 0.416405; 0.493964; 0.194683; 0.239748; 0; 0
1.0001; 1.00002; 1.01046; 0.995992; 0.999589; 0.999999; 0.931147; 1.01348; 0.379575; 1.17932; 0.228085; 0.227614; 0; 0
0.999978; 1.00001; 1.00256; 0.995884; 0.999933; 0.999925; 1.09485; 1.25748; 2.05023; 4.13759; 0.201395; 0.180441; 0; 0
1.00008; 1.00003; 0.987674; 0.979154; 0.999771; 0.999872; 1.22236; 1.0423; 3.55056; 3.42161; 0.664859; 0.365126; 0; 0
1.00003; 1.00001; 0.996394; 0.985813; 1.00004; 1.00012; 0.98365; 1.28492; 4.00387; 1.57254; 0.28142; 0.358848; 0; 0
1.00023; 1.00012; 1.01209; 0.976386; 0.99995; 0.999924; 1.22284; 1.14548; 1.28545; 2.77724; 0.360191; 0.364462; 0; 0
0.999982; 1.00014; 1.01085; 0.970137; 0.999796; 0.999571; 1.08209; 1.0969; 0.589102; 2.33241; 0.301532; 0.376824; 0; 0
1.00006; 1.00013; 1.00268; 1.00414; 0.999873; 0.999775; 1.4767; 1.53931; 0.544561; 0.792968; 0.252029; 0.293611; 0; 0
1.00008; 0.999931; 0.996398; 0.988706; 0.999675; 1.0002; 1.50977; 1.51247; 0.524787; 1.02329; 0.334494; 0.30481; 0; 0
1.00001; 1.00001; 1.00361; 0.9913; 0.999977; 0.999989; 1.02556; 1.33665; 2.05744; 3.46408; 0.390907; 0.455946; 0; 0
1.00003; 1.00013; 1.00438; 1.01752; 0.999975; 1.00002; 1.12817; 1.25527; 2.55429; 4.77305; 0.286356; 0.419643; 0; 0
1.00011; 1.00013; 0.994662; 0.976689; 0.999981; 0.99984; 1.18843; 1.44244; 1.33845; 3.71912; 0.395623; 0.330293; 0; 0
1.00009; 1.00001; 1.00442; 0.996946; 0.999836; 0.999959; 1.08909; 1.1295; 1.91273; 4.14826; 0.399297; 0.372109; 0; 0
0.999913; 0.999887; 1.01826; 1.00961; 0.999803; 0.999724; 1.40381; 1.54168; 5.48597; 6.25792; 0.282901; 0.285045; 0; 0
1.00001; 0.999955; 1.01207; 0.99815; 0.999879; 1.00007; 1.11991; 1.39682; 1.22556; 11.7609; 0.334235; 0.271892; 0; 0
1.00001; 1.00014; 0.999971; 1.0112; 0.999984; 0.999988; 0.993029; 1.24891; 2.25898; 3.55389; 0.324526; 0.514979; 0; 0
0.999871; 0.99992; 0.98995; 0.978606; 0.999994; 0.999954; 0.977687; 1.10713; 1.20262; 3.49066; 0.311618; 0.446601; 0; 0
0.999986; 0.999988; 0.99746; 0.989408; 0.999993; 1.00009; 1.37851; 1.53204; 5.18443; 2.61843; 0.358887; 0.369551; 0; 0
1; 1.00004; 0.997955; 0.999148; 1.00024; 1.00019; 1.15001; 1.3271; 0.234782; 1.42413; 0.323986; 0.299991; 0; 0
0.999982; 1.00001; 0.997417; 0.997444; 1.00005; 1.00002; 1.43507; 1.22249; 2.23312; 4.02042; 0.336332; 0.340636; 0; 0
1.00007; 1; 0.994072; 0.994939; 0.999859; 0.999958; 1.35459; 1.4184; 0.770089; 0.954372; 0.310147; 0.294747; 0; 0
0.999953; 1; 0.994559; 1.00003; 1.00012; 1.00014; 1.41437; 1.28642; 2.9252; 6.36835; 0.227278; 0.219334; 0; 0
1; 1.00001; 0.998327; 0.991572; 1.00007; 1.00001; 1.24564; 1.14882; 0.704662; 2.3834; 0.240024; 0.251259; 0; 0
1; 1; 0.995672; 0.992398; 1.00008; 1.00013; 1.19608; 1.25072; 0.630471; 1.11999; 0.223219; 0.241187; 0; 0
1; 1; 0.999178; 0.994697; 1; 1; 0.959972; 0.878349; 0.211843; 7.06864; 0.212055; 0.224431; 0; 0
1.00003; 1.00002; 0.993629; 0.991976; 0.999926; 0.999962; 1.16631; 0.786582; 0.125261; 5.73523; 0.248971; 0.251083; 0; 0
0.999999; 1.00004; 0.993704; 0.987006; 1.00003; 0.999783; 1.07118; 1.02722; 0.133885; 2.46184; 0.175007; 0.20205; 0; 0
1; 1.00006; 1.00194; 1.00017; 0.999949; 0.999953; 1.13221; 1.12328; 0.0964232; 0.41688; 0.228296; 0.241662; 0; 0
1; 1; 0.999132; 0.997772; 1.00026; 1.00026; 1.81416; 1.79609; 0.230361; 1.05255; 0.1683; 0.168492; 0; 0
1; 1.00008; 0.999907; 1.0029; 1.00018; 0.999215; 1.84388; 1.78197; 0.120638; 0.301769; 0.119131; 0.140871; 0; 0
1; 1.00006; 0.999656; 0.996525; 1.00026; 0.999286; 1.76926; 1.84128; 0.671495; 0.796348; 0.101316; 0.10499; 0; 0
1.00003; 1; 1.00152; 0.998019; 0.999667; 0.999985; 1.74933; 1.77339; 0.564218; 0.66601; 0.0984723; 0.114834; 0; 0
0.999989; 0.999995; 0.992925; 0.992326; 1.00002; 1.00002; 1.34388; 1.27594; 1.34072; 2.23358; 0.0972554; 0.131556; 0; 0
1.00012; 1.00008; 1.004; 0.988252; 0.999593; 0.999553; 1.55465; 1.22728; 0.616913; 8.49084; 0.131198; 0.124204; 0; 0
0.999968; 0.999989; 0.995679; 0.992952; 1.00002; 1.00001; 1.80626; 1.67403; 0.292995; 1.29091; 0.101657; 0.108617; 0; 0
1.00001; 1.00004; 0.994907; 0.992675; 0.999795; 0.999946; 1.82569; 1.86825; 0.703331; 1.09249; 0.110077; 0.125551; 0; 0
0.999879; 1.00004; 0.995109; 1.02172; 1.00018; 0.998744; 1.80286; 1.65459; 0.199673; 0.802091; 0.103689; 0.17781; 0; 0
1.00004; 0.999952; 1.00162; 1.00178; 1.00003; 1.00002; 1.17414; 1.18532; 0.105965; 0.325891; 0.208208; 0.204642; 0; 0
0.999993; 0.999987; 1.00643; 1.0011; 1.00003; 1.00007; 1.01489; 1.06553; 2.51833; 2.41464; 0.150434; 0.183234; 0; 0
1.00006; 1.00011; 0.998673; 1.00336; 0.999758; 0.9998; 1.19227; 1.02877; 0.522613; 2.53842; 0.0949515; 0.0968568; 0; 0
